Model,Training_Rate,Activation,MSE,MAE
fcnn,0.1,relu,865.8697509765625,22.802934646606445
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,1219.1204833984375,29.29497718811035
fcnn,0.1,relu,5163.47021484375,64.86697387695312
fcnn,0.1,relu,2349.136962890625,38.294471740722656
fcnn,0.1,relu,477.58251953125,14.209137916564941
fcnn,0.1,relu,1827.867431640625,38.832923889160156
fcnn,0.1,relu,749.6905517578125,19.75658416748047
fcnn,0.1,relu,1208.546142578125,26.795242309570312
fcnn,0.1,relu,4668.5634765625,65.24209594726562
fcnn,0.1,relu,525.2676391601562,15.588541984558105
fcnn,0.1,relu,526.1370849609375,15.320611953735352
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,882.0203857421875,25.574813842773438
fcnn,0.1,relu,2829.888916015625,47.22126770019531
fcnn,0.1,relu,850.4891967773438,18.496013641357422
fcnn,0.1,relu,5477.28271484375,67.20541381835938
fcnn,0.1,relu,774.6334838867188,20.34303855895996
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,494.1836242675781,14.489044189453125
fcnn,0.1,relu,1179.979248046875,19.59345054626465
